State,0 BR,1 BR,2 BR,3 BR,4 BR
Alabama,735,788,969,1251,1436
Alaska,1039,1153,1454,1914,2205
Arizona,960,1064,1324,1789,2032
Arkansas,661,696,875,1153,1317
California,1350,1488,1864,2516,2915
Colorado,1088,1164,1460,1897,2252
Connecticut,1171,1358,1695,2104,2510
Delaware,1107,1185,1468,1895,2204
District of Columbia,1772,1803,2045,2544,3015
Florida,1058,1131,1359,1773,2086
Georgia,901,933,1113,1427,1666
Hawaii,1505,1614,2095,2802,3218
Idaho,761,832,1048,1455,1740
Illinois,690,768,958,1245,1390
Indiana,724,803,1001,1286,1463
Iowa,663,719,909,1182,1308
Kansas,670,733,928,1198,1353
Kentucky,687,756,946,1236,1389
Louisiana,768,831,1010,1302,1521
Maine,830,895,1135,1466,1634
Maryland,1269,1355,1622,2109,2435
Massachusetts,1500,1636,2026,2489,2806
Michigan,730,811,1015,1303,1452
Minnesota,759,844,1065,1420,1628
Mississippi,761,794,958,1227,1367
Missouri,664,700,884,1161,1340
Montana,693,765,960,1283,1507
Nebraska,620,709,902,1154,1270
Nevada,905,1037,1310,1798,2161
New Hampshire,1014,1122,1449,1875,2071
New Jersey,1386,1551,1889,2374,2695
New Mexico,719,811,989,1329,1585
New York,1075,1160,1398,1758,1947
North Carolina,866,901,1083,1408,1677
North Dakota,722,743,911,1224,1495
Ohio,699,763,957,1226,1364
Oklahoma,700,738,933,1215,1407
Oregon,950,1049,1307,1822,2143
Pennsylvania,798,877,1084,1383,1562
Rhode Island,1325,1419,1731,2121,2632
South Carolina,872,912,1093,1397,1628
South Dakota,663,756,964,1281,1532
Tennessee,820,852,1036,1344,1539
Texas,838,891,1093,1431,1666
Utah,803,922,1123,1504,1804
Vermont,1009,1080,1331,1717,1863
Virginia,1045,1072,1266,1659,1984
Washington,1030,1142,1422,1950,2284
West Virginia,695,738,909,1201,1356
Wisconsin,714,792,1004,1294,1445
Wyoming,794,818,1036,1396,1703
